"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "Less", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtabs\store.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtabs\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtransfer\store.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtransfer\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\store.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\style.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\store.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\style.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\style.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\style.scss", "SCSS", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Drawercomponent\store.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 0, 6, 151
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Drawercomponent\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\ParentMenu\store.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\ParentMenu\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\sdtable\store.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 14, 12, 123
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\sdtable\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\searchtransfer\store.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\searchtransfer\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
